"timeframe","Psa2012","TotPop","TotPop_m","psa2012_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
2000,"PSA 607",5948,".",607,"01JAN2000","31DEC2000",24,12,2.2,95,2.6,0.9,0.5,66,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 608",8374,".",608,"01JAN2000","31DEC2000",31,12,0.7,98,0.9,0.7,0.0,72,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 701",9734,".",701,"01JAN2000","31DEC2000",31,9.0,1.6,98,1.4,0.4,0.4,74,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 702",6301,".",702,"01JAN2000","31DEC2000",36,7.1,1.0,99,0.6,0.2,0.4,74,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 703",8994,".",703,"01JAN2000","31DEC2000",41,4.9,1.1,98,1.9,0.3,0.3,76,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 704",8876,".",704,"01JAN2000","31DEC2000",41,6.0,0.5,99,0.1,0.8,0.2,77,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 705",6947,".",705,"01JAN2000","31DEC2000",38,6.8,1.1,98,0.8,0.2,0.5,71,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 706",8877,".",706,"01JAN2000","31DEC2000",39,6.3,2.4,98,0.2,1.5,0.5,77,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 707",9886,".",707,"01JAN2000","31DEC2000",32,4.6,4.7,66,27,4.5,2.2,39,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 708",10292,".",708,"01JAN2000","31DEC2000",31,6.8,2.6,92,4.8,1.2,1.0,65,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 101",39,".",101,"01JAN1990","31DEC1990",1.9,21,34,10,31,25,34,1.7,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 102",1489,".",102,"01JAN1990","31DEC1990",12,21,31,56,9.7,1.9,32,42,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 103",5995,".",103,"01JAN1990","31DEC1990",22,16,4.5,91,5.9,1.7,1.8,63,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 104",11955,".",104,"01JAN1990","31DEC1990",17,13,2.6,74,24,2.0,0.6,56,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 105",11597,".",105,"01JAN1990","31DEC1990",15,11,8.8,60,34,2.9,2.1,61,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 106",7096,".",106,"01JAN1990","31DEC1990",21,11,2.4,64,34,0.9,1.0,74,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 107",14563,".",107,"01JAN1990","31DEC1990",10,8.6,5.3,29,67,1.9,1.8,34,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 108",15707,".",108,"01JAN1990","31DEC1990",15,11,4.0,79,19,1.7,0.6,52,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 201",13743,".",201,"01JAN1990","31DEC1990",19,20,12,8.4,85,3.4,3.3,12,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 202",10364,".",202,"01JAN1990","31DEC1990",15,17,18,4.3,85,5.9,4.2,6.6,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 203",17545,".",203,"01JAN1990","31DEC1990",9.9,21,19,6.7,82,7.5,3.8,11,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 204",22907,".",204,"01JAN1990","31DEC1990",8.0,15,21,4.6,82,8.8,4.7,21,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 205",17599,".",205,"01JAN1990","31DEC1990",13,13,18,3.7,86,5.4,4.4,15,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 206",14220,".",206,"01JAN1990","31DEC1990",5.7,9.3,16,4.5,85,5.7,4.7,22,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 207",11686,".",207,"01JAN1990","31DEC1990",1.4,13,18,5.6,82,5.0,7.3,3.8,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 208",14929,".",208,"01JAN1990","31DEC1990",6.3,8.4,22,15,68,11,5.7,33,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 301",11365,".",301,"01JAN1990","31DEC1990",9.3,8.4,19,33,50,14,2.8,38,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 302",12739,".",302,"01JAN1990","31DEC1990",24,12,25,73,4.4,21,1.6,54,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 303",15059,".",303,"01JAN1990","31DEC1990",11,6.6,23,30,51,16,2.4,39,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 304",10996,".",304,"01JAN1990","31DEC1990",25,11,21,78,3.7,17,0.2,59,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 305",3849,".",305,"01JAN1990","31DEC1990",27,12,14,81,6.9,11,1.3,58,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 306",4709,".",306,"01JAN1990","31DEC1990",11,10,3.7,94,3.3,2.1,0.5,77,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 307",9185,".",307,"01JAN1990","31DEC1990",12,13,21,59,23,15,3.6,53,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 308",6701,".",308,"01JAN1990","31DEC1990",24,12,8.3,86,7.1,4.4,2.5,67,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 401",11541,".",401,"01JAN1990","31DEC1990",17,14,9.7,75,20,3.0,2.0,34,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 402",11633,".",402,"01JAN1990","31DEC1990",18,17,13,90,3.2,6.4,0.4,48,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 403",13829,".",403,"01JAN1990","31DEC1990",20,16,10.0,89,5.9,4.2,0.2,61,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 404",10851,".",404,"01JAN1990","31DEC1990",18,17,15,80,10,8.8,0.5,46,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 405",21288,".",405,"01JAN1990","31DEC1990",13,19,4.6,70,26,2.1,1.2,49,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 406",8093,".",406,"01JAN1990","31DEC1990",17,20,4.3,93,4.8,0.9,0.6,49,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 407",14177,".",407,"01JAN1990","31DEC1990",19,18,8.8,93,2.7,3.0,0.8,53,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 408",11140,".",408,"01JAN1990","31DEC1990",15,11,32,36,35,26,3.0,34,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 409",9957,".",409,"01JAN1990","31DEC1990",23,12,24,75,3.2,20,1.6,63,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 501",8793,".",501,"01JAN1990","31DEC1990",21,13,3.4,91,6.2,1.3,0.7,50,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 502",12364,".",502,"01JAN1990","31DEC1990",22,16,3.7,90,7.6,2.1,0.5,63,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 503",10077,".",503,"01JAN1990","31DEC1990",18,25,3.2,94,3.6,1.0,0.1,41,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 504",8091,".",504,"01JAN1990","31DEC1990",19,17,5.0,82,14,2.5,1.0,38,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 505",6386,".",505,"01JAN1990","31DEC1990",27,15,2.4,95,3.8,0.3,0.3,71,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 506",9195,".",506,"01JAN1990","31DEC1990",25,15,1.9,95,3.7,0.2,0.3,65,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 507",13114,".",507,"01JAN1990","31DEC1990",25,15,1.5,98,0.6,1.2,0.0,67,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 601",5987,".",601,"01JAN1990","31DEC1990",27,16,0.6,99,0.6,0.7,0.0,65,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 602",10410,".",602,"01JAN1990","31DEC1990",25,16,1.3,98,0.5,0.7,0.4,68,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 603",11835,".",603,"01JAN1990","31DEC1990",27,11,0.6,98,0.7,1.2,0.4,68,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 604",16872,".",604,"01JAN1990","31DEC1990",29,11,0.7,99,0.3,0.2,0.1,68,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 605",10360,".",605,"01JAN1990","31DEC1990",22,14,1.1,95,4.2,0.6,0.1,57,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 606",6662,".",606,"01JAN1990","31DEC1990",19,13,3.3,83,13,2.6,1.0,53,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 607",6863,".",607,"01JAN1990","31DEC1990",24,8.7,1.2,94,4.5,0.7,0.3,55,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 608",9578,".",608,"01JAN1990","31DEC1990",28,12,1.1,99,0.3,0.6,0.0,64,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 701",10840,".",701,"01JAN1990","31DEC1990",28,8.4,1.9,96,2.7,0.8,0.0,69,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 702",7540,".",702,"01JAN1990","31DEC1990",32,11,1.4,97,1.4,1.2,0.0,77,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 703",9390,".",703,"01JAN1990","31DEC1990",32,7.1,1.3,96,3.4,0.5,0.3,79,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 704",9265,".",704,"01JAN1990","31DEC1990",35,6.4,0.6,99,0.1,0.2,0.2,80,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 705",6957,".",705,"01JAN1990","31DEC1990",33,7.1,1.3,98,1.1,0.6,0.1,75,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 706",12486,".",706,"01JAN1990","31DEC1990",37,3.8,0.7,99,0.3,0.1,0.1,76,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 707",13538,".",707,"01JAN1990","31DEC1990",32,3.1,2.9,65,28,3.5,2.2,34,".",".",".",".",".",".",".",".","X","X","X",1
1990,"PSA 708",11752,".",708,"01JAN1990","31DEC1990",29,5.3,1.9,92,5.8,1.1,0.5,63,".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 101","X",".",101,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",2155,1337,358,1
2010,"PSA 102","X",".",102,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",174,-3.6,73,1
2010,"PSA 103","X",".",103,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-4.4,-31,-26,1
2010,"PSA 104","X",".",104,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",7.4,-25,-26,1
2010,"PSA 105","X",".",105,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-1.6,-16,-5.5,1
2010,"PSA 106","X",".",106,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",24,-45,0.4,1
2010,"PSA 107","X",".",107,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",11,32,39,1
2010,"PSA 108","X",".",108,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",9.6,-7.6,-18,1
2010,"PSA 201","X",".",201,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-4.9,13,-12,1
2010,"PSA 202","X",".",202,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",18,28,13,1
2010,"PSA 203","X",".",203,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",0.7,-6.5,-9.0,1
2010,"PSA 204","X",".",204,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",8.5,26,11,1
2010,"PSA 205","X",".",205,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",0.3,27,26,1
2010,"PSA 206","X",".",206,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",7.4,35,37,1
2010,"PSA 207","X",".",207,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",38,71,-3.7,1
2010,"PSA 208","X",".",208,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",14,-18,25,1
2010,"PSA 301","X",".",301,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-0.8,-24,-7.8,1
2010,"PSA 302","X",".",302,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",4.4,-33,-5.0,1
2010,"PSA 303","X",".",303,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-0.1,-28,48,1
2010,"PSA 304","X",".",304,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",11,-21,-7.9,1
2010,"PSA 305","X",".",305,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",57,-51,-30,1
2010,"PSA 306","X",".",306,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",2.5,-38,-46,1
2010,"PSA 307","X",".",307,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",16,-37,-15,1
2010,"PSA 308","X",".",308,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",1.0,-27,-5.1,1
2010,"PSA 401","X",".",401,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",2.1,0.8,2.7,1
2010,"PSA 402","X",".",402,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",4.6,8.6,-12,1
2010,"PSA 403","X",".",403,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",0.9,-0.8,-18,1
2010,"PSA 404","X",".",404,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",5.1,-13,-18,1
2010,"PSA 405","X",".",405,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",7.2,-9.0,31,1
2010,"PSA 406","X",".",406,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-0.1,7.3,-13,1
2010,"PSA 407","X",".",407,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",0.2,-15,-22,1
2010,"PSA 408","X",".",408,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-11,-28,-5.1,1
2010,"PSA 409","X",".",409,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",0.7,-36,-22,1
2010,"PSA 501","X",".",501,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",11,-35,-23,1
2010,"PSA 502","X",".",502,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",2.3,-26,-20,1
2010,"PSA 503","X",".",503,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",3.1,-3.3,-16,1
2010,"PSA 504","X",".",504,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-5.3,-18,-24,1
2010,"PSA 505","X",".",505,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-0.8,-12,2.7,1
2010,"PSA 506","X",".",506,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",1.4,-22,-24,1
2010,"PSA 507","X",".",507,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",4.2,-6.6,-19,1
2010,"PSA 601","X",".",601,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",4.2,-5.3,-5.7,1
2010,"PSA 602","X",".",602,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",6.7,7.7,-20,1
2010,"PSA 603","X",".",603,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",5.3,-4.5,-4.5,1
2010,"PSA 604","X",".",604,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-0.0,-7.9,-21,1
2010,"PSA 605","X",".",605,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-3.0,-12,10,1
2010,"PSA 606","X",".",606,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-5.3,-22,15,1
2010,"PSA 607","X",".",607,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-4.7,-16,9.9,1
2010,"PSA 608","X",".",608,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-0.9,-13,6.8,1
2010,"PSA 701","X",".",701,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",5.1,-12,34,1
2010,"PSA 702","X",".",702,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",8.6,-4.4,-1.1,1
2010,"PSA 703","X",".",703,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-4.9,-24,2.3,1
2010,"PSA 704","X",".",704,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",10,-7.7,1.8,1
2010,"PSA 705","X",".",705,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-18,-33,-2.9,1
2010,"PSA 706","X",".",706,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",6.9,-16,86,1
2010,"PSA 707","X",".",707,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-16,-26,23,1
2010,"PSA 708","X",".",708,"01JAN2000","31DEC2010","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",5.9,-6.1,8.8,1
2000,"PSA 101","X",".",101,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",2.8,291,-18,1
2000,"PSA 102","X",".",102,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",44,53,10.0,1
2000,"PSA 103","X",".",103,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-5.7,13,-12,1
2000,"PSA 104","X",".",104,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-12,-3.0,-13,1
2000,"PSA 105","X",".",105,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",1.6,1.6,42,1
2000,"PSA 106","X",".",106,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-5.1,14,-19,1
2000,"PSA 107","X",".",107,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-4.4,-14,-8.6,1
2000,"PSA 108","X",".",108,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-13,-15,-13,1
2000,"PSA 201","X",".",201,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",8.7,5.1,23,1
2000,"PSA 202","X",".",202,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-2.3,16,-12,1
2000,"PSA 203","X",".",203,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-0.0,3.8,-21,1
2000,"PSA 204","X",".",204,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-1.4,-6.8,-21,1
2000,"PSA 205","X",".",205,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",7.1,7.2,-2.9,1
2000,"PSA 206","X",".",206,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",5.7,8.1,-8.4,1
2000,"PSA 207","X",".",207,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",6.3,-5.0,-7.0,1
2000,"PSA 208","X",".",208,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",4.3,-21,2.8,1
2000,"PSA 301","X",".",301,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-1.8,-18,-18,1
2000,"PSA 302","X",".",302,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-2.2,9.9,-30,1
2000,"PSA 303","X",".",303,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",3.9,-13,-18,1
2000,"PSA 304","X",".",304,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-0.8,-16,-29,1
2000,"PSA 305","X",".",305,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",2.4,-36,-28,1
2000,"PSA 306","X",".",306,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-9.7,8.3,-33,1
2000,"PSA 307","X",".",307,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",14,39,-21,1
2000,"PSA 308","X",".",308,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-3.6,-5.9,-12,1
2000,"PSA 401","X",".",401,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-7.8,-7.7,10,1
2000,"PSA 402","X",".",402,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-3.7,3.9,0.1,1
2000,"PSA 403","X",".",403,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-3.5,7.3,-6.1,1
2000,"PSA 404","X",".",404,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",3.7,29,-5.3,1
2000,"PSA 405","X",".",405,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-19,-0.2,-26,1
2000,"PSA 406","X",".",406,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-16,-19,3.9,1
2000,"PSA 407","X",".",407,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-7.7,11,-13,1
2000,"PSA 408","X",".",408,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",5.9,3.2,-25,1
2000,"PSA 409","X",".",409,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",1.7,14,-23,1
2000,"PSA 501","X",".",501,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-12,-0.7,-30,1
2000,"PSA 502","X",".",502,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-12,-5.0,-18,1
2000,"PSA 503","X",".",503,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-3.8,1.9,3.3,1
2000,"PSA 504","X",".",504,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-9.7,-2.6,-3.7,1
2000,"PSA 505","X",".",505,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-9.2,-9.6,-15,1
2000,"PSA 506","X",".",506,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-17,-20,-22,1
2000,"PSA 507","X",".",507,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-16,-8.2,-25,1
2000,"PSA 601","X",".",601,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",21,45,-8.0,1
2000,"PSA 602","X",".",602,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-13,-9.2,-15,1
2000,"PSA 603","X",".",603,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-12,-3.6,7.7,1
2000,"PSA 604","X",".",604,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-22,-14,-3.2,1
2000,"PSA 605","X",".",605,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-11,-10,11,1
2000,"PSA 606","X",".",606,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-5.5,12,5.0,1
2000,"PSA 607","X",".",607,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-13,-13,17,1
2000,"PSA 608","X",".",608,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-13,-3.3,-11,1
2000,"PSA 701","X",".",701,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-10,-0.5,-4.0,1
2000,"PSA 702","X",".",702,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-16,-3.9,-48,1
2000,"PSA 703","X",".",703,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-4.2,22,-34,1
2000,"PSA 704","X",".",704,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-4.2,12,-10,1
2000,"PSA 705","X",".",705,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-0.1,16,-3.5,1
2000,"PSA 706","X",".",706,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-29,-26,17,1
2000,"PSA 707","X",".",707,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",-27,-27,8.0,1
